State,ComponentName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
United States,Gross domestic product (GDP) by state (millions of current dollars),10556006,10910833,11440109,12200160,13015161,13773226,14391149,14626598,14320114,14859772,15406002,16041243,16576738,17312381
Alabama,Gross domestic product (GDP) by state (millions of current dollars),122822,127873,134388,146989,156750,164468,169923,172646,168315,174710,180665,185878,190319,193995
Alaska,Gross domestic product (GDP) by state (millions of current dollars),28553,29763,32039,35195,40063,44679,49197,55461,50463,54134,58759,60890,59808,58196
Arizona,Gross domestic product (GDP) by state (millions of current dollars),172288,179605,192685,204136,227358,248459,262045,256718,242509,245668,254192,264693,270469,281031
Arkansas,Gross domestic product (GDP) by state (millions of current dollars),70849,74097,78774,85261,90319,94839,97384,99838,98020,102951,107287,109226,114456,118068
California,Gross domestic product (GDP) by state (millions of current dollars),1376163,1431267,1523473,1645084,1766693,1879520,1956523,1983926,1912115,1965886,2036297,2131199,2223892,2358811
Colorado,Gross domestic product (GDP) by state (millions of current dollars),188108,193068,198811,204242,220454,231920,245949,254784,247270,253374,262719,272799,286835,305633
Connecticut,Gross domestic product (GDP) by state (millions of current dollars),175290,178017,183533,200407,210170,221420,236640,238211,233562,234528,234233,239462,240975,244628
Delaware,Gross domestic product (GDP) by state (millions of current dollars),47762,46985,48949,52376,53247,56001,56968,55293,57350,57471,59937,60628,61109,66115
District of Columbia,Gross domestic product (GDP) by state (millions of current dollars),64888,69060,72780,79040,83586,87496,92846,97372,98415,103831,107738,109685,111890,116358
Florida,Gross domestic product (GDP) by state (millions of current dollars),529627,562431,595304,639276,700267,746170,769817,748320,721755,735098,741455,764136,794644,833968
Georgia,Gross domestic product (GDP) by state (millions of current dollars),318226,325863,340627,364062,388342,404206,417700,411866,404575,412485,424126,439058,454238,479273
Hawaii,Gross domestic product (GDP) by state (millions of current dollars),43089,45581,49136,53755,58573,62054,65210,66692,65382,68225,70017,72532,74630,77155
Idaho,Gross domestic product (GDP) by state (millions of current dollars),37611,38897,40703,43610,47176,51157,54507,55853,53882,55258,56744,58105,60854,63305
Illinois,Gross domestic product (GDP) by state (millions of current dollars),503157,513947,531106,558969,586442,621232,646665,642698,638032,653476,679776,711370,721876,750212
Indiana,Gross domestic product (GDP) by state (millions of current dollars),206558,214497,225295,238563,245197,256434,270245,273475,262068,282259,291570,299996,311150,325904
Iowa,Gross domestic product (GDP) by state (millions of current dollars),95934,100221,106651,118023,123353,127961,137598,137741,137069,141697,148843,158246,162305,171115
Kansas,Gross domestic product (GDP) by state (millions of current dollars),89331,91952,96368,99242,104884,113362,122498,128108,123986,128542,136884,140964,143471,148468
Kentucky,Gross domestic product (GDP) by state (millions of current dollars),118302,123039,128081,135666,143875,152133,155441,158847,156319,165974,171835,177046,181135,185945
Louisiana,Gross domestic product (GDP) by state (millions of current dollars),138911,140451,155942,171375,199683,207507,209455,218781,210879,232596,236248,241378,234608,243474
Maine,Gross domestic product (GDP) by state (millions of current dollars),38834,40520,42291,44887,46277,48311,49452,49949,50405,51456,51490,52580,53348,55396
Maryland,Gross domestic product (GDP) by state (millions of current dollars),205459,217004,227841,246838,263809,277634,286687,294564,300929,313952,324830,332500,339443,350873
Massachusetts,Gross domestic product (GDP) by state (millions of current dollars),297197,304012,315400,330072,345059,360557,378864,385445,385698,402652,417283,434098,442090,459547
Michigan,Gross domestic product (GDP) by state (millions of current dollars),350578,364465,376269,382666,395166,395550,401522,384270,363146,385021,399437,416701,429644,445535
Minnesota,Gross domestic product (GDP) by state (millions of current dollars),195810,203521,216458,231170,243933,250027,258917,264299,258166,269937,282397,292920,304063,317653
Mississippi,Gross domestic product (GDP) by state (millions of current dollars),67445,69231,73814,77778,81678,86291,91422,97134,93669,95810,96968,101351,103523,104633
Missouri,Gross domestic product (GDP) by state (millions of current dollars),192227,197222,205164,215606,224091,232795,240613,250088,250436,255865,257225,266245,275911,282381
Montana,Gross domestic product (GDP) by state (millions of current dollars),23054,23983,25746,28019,30637,32914,35947,36917,36079,38375,41187,42349,43229,45064
