Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada,"3,054.90","3,216.50","3,365.90","3,454.90","3,549.70","3,615.70","3,731.00","3,808.60","3,873.50","4,151.90","4,227.80","4,177.70","4,202.10","4,211.60","4,218.20","4,411.50","4,481.10"
Sweden,"2,650.80","2,910.20","3,081.70","3,181.80","3,227.10","3,311.20","3,398.60","3,451.10","3,506.10","3,546.50","3,536.10","4,533.90","4,596.50","4,682.90","4,774.80","4,860.50","4,993.00"
Switzerland,"4,478.10","4,685.10","4,851.00","4,958.90","5,079.60","5,116.90","5,057.50","5,128.40","5,257.30","5,397.10","5,686.30","5,763.90","5,913.30","6,091.90","6,260.80","6,493.80","6,718.10"
United Kingdom,"1,956.80","2,115.30","2,249.10","2,408.30","2,530.50","2,639.80","2,739.80","2,827.60","2,881.80","3,031.80","3,040.70","3,044.90","3,069.70","3,613.10","3,675.30","3,755.60","3,758.80"
United States,"5,635.40","5,934.90","6,341.70","6,695.60","6,923.70","7,091.60","7,268.10","7,447.30","7,549.80","7,772.80","7,931.70","7,980.10","8,095.40","8,157.60","8,404.00","8,748.60","8,984.80"
Australia,"2,767.50","2,872.20","2,999.30","3,090.50","3,240.20","3,242.90","3,323.30","3,415.30","3,494.50","3,629.70","3,607.50","3,738.30","3,830.30","3,899.60","4,057.80","4,278.30","4,387.70"
Austria,"3,473.90","3,532.50","3,621.50","3,696.80","3,798.70","3,827.60","3,895.20","4,021.70","4,138.40","4,179.80","4,237.70","4,254.90","4,362.30","4,366.20","4,405.10","4,414.90","4,471.10"
Belgium,"2,889.70","2,962.90","3,060.70","3,378.60","3,493.50","3,514.10","3,537.60","3,642.80","3,799.50","3,971.40","3,980.00","4,061.40","4,078.90","4,129.20","4,198.70","4,269.60","4,269.50"
Chile,737.7,768.1,806.8,853,909,948.9,992.2,"1,063.30","1,092.60","1,172.90","1,238.30","1,296.10","1,374.40","1,485.70","1,567.80","1,680.00","1,755.70"
Czech Republic,"1,185.00","1,261.40","1,353.10","1,483.60","1,513.80","1,608.90","1,664.20","1,696.30","1,826.70","1,982.00","1,920.50","1,964.40","1,960.30","2,166.10","2,178.90","2,170.80","2,207.00"
Denmark,"3,359.80","3,518.60","3,629.70","3,718.00","3,851.70","3,967.20","4,144.20","4,234.40","4,271.70","4,534.40","4,470.10","4,433.40","4,458.30","4,456.40","4,529.90","4,599.00","4,661.40"
Estonia,771.1,765,807.2,900.7,"1,004.00","1,074.80","1,183.10","1,309.30","1,420.40","1,380.40","1,369.60","1,358.80","1,423.60","1,497.50","1,591.90","1,692.30","1,763.20"
Finland,"2,323.10","2,429.30","2,596.00","2,750.50","2,897.90","3,047.10","3,161.20","3,237.10","3,352.30","3,358.60","3,442.10","3,546.10","3,612.00","3,645.30","3,602.70","3,587.50","3,593.30"
France,"3,261.20","3,344.00","3,467.10","3,491.70","3,592.40","3,642.90","3,654.90","3,687.40","3,726.20","3,849.20","3,872.00","3,938.50","3,964.20","4,004.10","4,072.10","4,079.30","4,087.90"
Germany,"3,545.80","3,616.30","3,704.00","3,764.60","3,729.20","3,814.90","3,907.40","3,986.30","4,120.20","4,280.50","4,413.20","4,456.00","4,493.60","4,571.20","4,659.50","4,741.90","4,851.80"
Greece,"1,766.40","2,017.90","2,153.70","2,263.30","2,295.00","2,610.90","2,740.60","2,853.10","2,937.10","2,828.80","2,696.20","2,335.00","2,099.40","1,943.30","1,870.40","1,983.50","1,969.80"
Hungary,"1,166.40","1,222.80","1,336.50","1,590.30","1,600.90","1,725.70","1,752.90","1,631.90","1,622.00","1,549.50","1,622.50","1,660.20","1,624.20","1,616.70","1,652.50","1,731.40","1,862.70"
Iceland,"3,039.70","3,070.50","3,295.70","3,523.10","3,580.50","3,626.10","3,600.30","3,753.20","3,737.90","3,602.70","3,383.40","3,375.00","3,417.20","3,536.70","3,600.90","3,635.60","3,875.70"
Ireland,"2,281.40","2,580.90","2,794.30","2,992.60","3,232.80","3,540.70","3,583.80","3,752.60","4,105.40","4,476.90","4,555.90","4,276.70","4,273.60","4,463.30","4,587.10","4,477.40","4,696.50"
Israel,"1,737.80","1,806.40","1,748.80","1,723.70","1,760.70","1,826.10","1,846.90","1,919.10","1,966.20","1,972.50","2,033.60","2,085.00","2,130.50","2,169.80","2,304.50","2,313.70","2,383.40"
Italy,"2,683.50","2,797.30","2,844.90","2,823.00","2,969.70","3,046.40","3,134.70","3,053.90","3,148.60","3,105.90","3,140.50","3,111.30","3,056.90","2,968.20","2,963.90","2,985.00","2,995.30"
Japan,"2,369.60","2,441.50","2,479.50","2,560.00","2,630.90","2,716.10","2,761.40","2,833.90","2,911.50","3,043.40","3,204.90","3,718.00","3,842.70","3,925.40","3,960.20","4,036.10","4,063.90"
Korea,830.6,975.1,"1,007.20","1,120.60","1,176.40","1,297.90","1,468.90","1,587.30","1,664.40","1,823.90","1,976.00","2,049.80","2,139.50","2,249.30","2,383.50","2,523.60","2,682.50"
Latvia,585.9,670.3,725.1,755.5,938.8,988.3,"1,092.50","1,217.70","1,156.70","1,102.10","1,081.70","1,062.00","1,087.80","1,124.20","1,177.80","1,280.30","1,300.70"
Luxembourg,"4,702.70","5,165.20","5,578.20","5,798.40","6,242.00","6,224.70","6,044.00","6,007.90","6,120.10","6,466.70","6,386.50","5,581.70","5,848.50","5,947.30","5,901.70","5,830.50","6,245.70"
Mexico,689.5,736.6,754.4,830.7,870.5,868.6,869.7,902.7,891.1,900,911.4,895,948,965.8,925.2,969.2,972
