Item,State_Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Average_Annual_Percent_Growth
Medicaid/Personal Health Care ($),Alabama,4059,4018,4204,4262,4531,4621,4829,5051,5135,5793,4801,5066,4845,5042,3.5
Medicaid/Personal Health Care ($),Alaska,7757,8929,10308,9927,10655,10291,10460,10704,11333,11235,11733,12151,11811,12001,4
Medicaid/Personal Health Care ($),Arizona,4057,3856,3902,4223,4543,5064,5287,5537,5605,6415,6213,5299,5462,6032,4.4
Medicaid/Personal Health Care ($),Arkansas,4135,4319,3905,4342,4358,4478,5276,5550,5815,6280,6372,6562,6666,6108,2.7
Medicaid/Personal Health Care ($),California,3462,3390,3588,3766,3981,3982,4197,4471,4531,4698,4890,5390,5915,5368,4.3
Medicaid/Personal Health Care ($),Colorado,6645,6749,6528,6448,6557,6362,6888,7109,6972,7178,7104,7535,7995,7143,3.2
Medicaid/Personal Health Care ($),Connecticut,8608,8648,8004,8780,8807,9115,9111,9953,10821,9172,8618,9357,8806,8058,1.9
Medicaid/Personal Health Care ($),Delaware,5183,5134,5362,5596,5733,6073,6408,6659,6560,6290,6331,6879,6639,6921,2.3
Medicaid/Personal Health Care ($),District of Columbia,6952,7616,7669,8444,8686,8623,9428,10143,10689,10159,9663,9409,10080,8998,2.4
Medicaid/Personal Health Care ($),Florida,4217,4555,4983,5435,5358,5265,5801,5724,5348,5534,5213,5047,4960,5175,2.4
Medicaid/Personal Health Care ($),Georgia,5393,5438,5294,5507,4983,4737,5640,5264,4731,4923,5004,4949,5098,5199,2.6
Medicaid/Personal Health Care ($),Hawaii,4005,4393,4445,5045,5478,4975,5903,6064,5459,5980,5856,5101,5714,6087,2.8
Medicaid/Personal Health Care ($),Idaho,5453,5279,5283,5894,5900,5916,6468,6975,7057,7669,6047,6877,7257,7069,2.3
Medicaid/Personal Health Care ($),Illinois,5163,5386,5309,5152,5605,5075,5904,5298,5916,6158,4973,4940,5733,4959,3.5
Medicaid/Personal Health Care ($),Indiana,5946,5989,5654,6414,6815,6057,6442,6944,6274,6020,5884,7008,6902,8285,1.9
Medicaid/Personal Health Care ($),Iowa,6397,6926,7273,7343,7410,7123,6895,7167,6877,6617,6694,6862,6787,6702,2.2
Medicaid/Personal Health Care ($),Kansas,6840,7208,6199,6918,7232,7381,7740,7927,7969,7079,7367,6982,6662,6736,2.6
Medicaid/Personal Health Care ($),Kentucky,5656,5960,5564,6403,6106,6055,6455,6463,7087,6930,6812,6618,6672,7016,4.5
Medicaid/Personal Health Care ($),Louisiana,4960,4442,4742,5161,5457,5354,6010,6185,6304,6151,5841,5883,6197,6281,2.6
Medicaid/Personal Health Care ($),Maine,6012,4906,7566,7816,7738,7470,6854,7184,7943,6107,6751,7091,7844,7504,3.1
Medicaid/Personal Health Care ($),Maryland,6229,6429,7304,7447,7783,7965,8465,8510,8432,8202,7801,7433,7458,7677,2.7
Medicaid/Personal Health Care ($),Massachusetts,11083,11840,12665,13093,13880,12748,13829,11807,11886,11939,10291,9711,9611,8922,2.6
Medicaid/Personal Health Care ($),Michigan,5759,5036,5417,5231,5196,5091,5518,5661,5517,5546,5520,5853,6132,5915,3.4
Medicaid/Personal Health Care ($),Minnesota,7578,8375,8225,8888,8987,9026,9703,9885,9791,9767,9009,9129,9597,9176,2.5
Medicaid/Personal Health Care ($),Mississippi,4376,4551,4588,5195,4702,5016,5624,5606,5816,6430,6403,6519,6676,6690,5.6
Medicaid/Personal Health Care ($),Missouri,5239,5505,5847,6313,6876,7333,7825,8254,8686,8438,8311,9021,9293,9413,5.7
Medicaid/Personal Health Care ($),Montana,7013,6234,6537,7404,7937,8215,8566,9414,9591,9553,7634,8712,8654,9378,3.7
Medicaid/Personal Health Care ($),Nebraska,6267,6280,7509,7518,8083,7800,8197,8221,8172,8085,7722,8072,7670,7964,3.5
Medicaid/Personal Health Care ($),Nevada,5753,5367,5150,5663,6208,6332,6591,6429,5908,5184,4818,5619,5072,5484,1
Medicaid/Personal Health Care ($),New Hampshire,9862,9987,9441,10944,10383,9789,10404,10333,10251,9551,8116,8238,8714,9129,2.2
Medicaid/Personal Health Care ($),New Jersey,8016,8794,9353,9673,10999,10933,10328,10769,10615,10306,10068,9357,9436,8049,2
Medicaid/Personal Health Care ($),New Mexico,4231,4530,4774,4930,5300,5569,6188,6376,6319,5894,5451,5355,5347,5445,2.4
Medicaid/Personal Health Care ($),New York,10675,10213,10286,10250,9765,10143,10569,10693,10562,10111,10320,9818,9535,9803,1.5
Medicaid/Personal Health Care ($),North Carolina,5874,5805,5825,6570,7006,6782,6769,7231,7447,6524,6724,6706,6779,7225,3.4
Medicaid/Personal Health Care ($),North Dakota,7743,8087,8035,9059,9409,9199,9420,9614,9684,10460,10567,11336,11924,12413,2.7
Medicaid/Personal Health Care ($),Ohio,6751,6851,7012,7301,7299,6940,7172,7168,7418,7195,7192,6754,7119,7007,3.3
Medicaid/Personal Health Care ($),Oklahoma,4691,4891,4727,4992,5318,5476,5785,6247,6142,5838,5762,6226,6177,6529,3
Medicaid/Personal Health Care ($),Oregon,5468,5499,5572,6123,6600,6510,7079,7494,7685,7132,6696,6657,7521,7185,3.2
Medicaid/Personal Health Care ($),Pennsylvania,7618,7849,7971,8113,8722,7982,8401,8208,8055,8448,8503,8551,8798,9407,4.9
Medicaid/Personal Health Care ($),Rhode Island,8778,8852,8610,10020,10181,10179,9832,11073,10844,10661,10875,10702,10793,10934,5
Medicaid/Personal Health Care ($),South Carolina,4141,4179,3815,4685,4915,5168,5519,6128,6485,6262,5474,5127,4884,5491,1.4
Medicaid/Personal Health Care ($),South Dakota,5408,6359,5830,6192,6202,6162,6278,6677,6905,7000,6479,6651,6948,7056,1.4
