Item,State_Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Average_Annual_Percent_Growth
Medicaid Enrollee Population (Thousands),Alabama,643,711,755,788,814,774,737,765,811,863,922,942,964,988,4.2
Medicaid Enrollee Population (Thousands),Alaska,75,79,82,84,87,90,88,88,94,103,109,111,111,113,4.7
Medicaid Enrollee Population (Thousands),Arizona,619,819,964,1031,1095,1072,1114,1186,1350,1235,1155,1340,1345,1388,6.2
Medicaid Enrollee Population (Thousands),Arkansas,457,512,571,597,625,616,565,562,582,594,600,599,606,812,5.4
Medicaid Enrollee Population (Thousands),California,6780,7498,7914,7977,8005,7992,8045,8166,8602,8892,9127,9455,9424,11505,4.3
Medicaid Enrollee Population (Thousands),Colorado,305,335,366,388,412,421,413,430,490,551,591,610,617,845,6.1
Medicaid Enrollee Population (Thousands),Connecticut,374,412,430,444,445,443,454,477,510,606,662,705,741,868,4.4
Medicaid Enrollee Population (Thousands),Delaware,108,117,126,135,141,145,146,155,169,186,202,211,214,218,6.7
Medicaid Enrollee Population (Thousands),District of Columbia,124,127,132,137,139,140,141,140,148,175,202,211,217,242,3.9
Medicaid Enrollee Population (Thousands),Florida,1929,2082,2163,2185,2273,2233,2135,2313,2680,2874,3100,3288,3406,3534,5.3
Medicaid Enrollee Population (Thousands),Georgia,1023,1139,1282,1342,1387,1320,1246,1292,1416,1472,1514,1577,1596,1685,4
Medicaid Enrollee Population (Thousands),Hawaii,150,156,166,174,179,179,176,184,206,228,242,251,257,291,5.9
Medicaid Enrollee Population (Thousands),Idaho,129,142,154,163,167,170,169,165,178,191,213,219,222,218,5.9
Medicaid Enrollee Population (Thousands),Illinois,1454,1594,1752,1864,1968,1893,1964,2190,2357,2489,2576,2674,2704,3105,3.8
Medicaid Enrollee Population (Thousands),Indiana,636,679,705,742,770,787,805,852,926,978,979,1015,1041,1070,4.8
Medicaid Enrollee Population (Thousands),Iowa,248,267,283,300,312,348,361,381,420,452,481,506,518,606,4.5
Medicaid Enrollee Population (Thousands),Kansas,214,230,249,261,270,273,268,271,288,317,339,350,355,352,3.1
Medicaid Enrollee Population (Thousands),Kentucky,577,600,631,650,659,671,682,692,733,756,768,771,776,1058,3.6
Medicaid Enrollee Population (Thousands),Louisiana,691,767,821,867,905,913,887,933,991,1055,1084,1127,1136,1128,3
Medicaid Enrollee Population (Thousands),Maine,220,305,236,253,263,270,294,296,308,325,338,326,319,315,3.5
