Item,State_Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Average_Annual_Percent_Growth
Medicare/Personal Health Care (Millions of Dollars),Alabama,4065,4394,4756,5274,5698,6732,7135,7659,8039,8299,8621,8982,9289,9723,7
Medicare/Personal Health Care (Millions of Dollars),Alaska,235,260,287,350,373,418,439,484,541,562,611,644,696,741,9.6
Medicare/Personal Health Care (Millions of Dollars),Arizona,3620,3993,4409,4998,5619,6668,7247,7862,8466,8938,9586,10083,10574,11069,8.2
Medicare/Personal Health Care (Millions of Dollars),Arkansas,2371,2529,2714,2987,3266,3834,4151,4392,4623,4746,4981,5176,5304,5536,6.7
Medicare/Personal Health Care (Millions of Dollars),California,25705,27924,29684,31615,34445,40137,42382,47460,50818,53090,56254,59216,62146,64795,7.2
Medicare/Personal Health Care (Millions of Dollars),Colorado,2470,2729,2953,3296,3625,4227,4508,4857,5245,5547,5840,6239,6484,7013,8.3
Medicare/Personal Health Care (Millions of Dollars),Connecticut,3450,3677,3892,4290,4499,5217,5500,5871,6175,6290,6570,6728,7073,7410,6.6
Medicare/Personal Health Care (Millions of Dollars),Delaware,693,753,823,946,1006,1170,1282,1433,1504,1580,1687,1755,1878,2004,7.9
Medicare/Personal Health Care (Millions of Dollars),District of Columbia,567,589,608,651,699,769,778,829,860,881,924,956,993,1023,4.9
Medicare/Personal Health Care (Millions of Dollars),Florida,19417,20818,22454,24818,27107,31344,33295,36343,39169,40532,42642,44546,45712,47697,7.6
Medicare/Personal Health Care (Millions of Dollars),Georgia,5290,5752,6232,7014,7657,9384,10108,10892,11724,12370,13054,13873,14573,15318,7.9
Medicare/Personal Health Care (Millions of Dollars),Hawaii,824,881,925,992,1046,1222,1296,1443,1545,1629,1746,1848,1908,2036,7.8
Medicare/Personal Health Care (Millions of Dollars),Idaho,807,866,936,1036,1144,1381,1472,1598,1735,1812,1953,2087,2199,2370,9
Medicare/Personal Health Care (Millions of Dollars),Illinois,10095,10753,11400,12500,13532,15855,16833,18055,19074,19787,20725,21285,21814,22520,6.5
Medicare/Personal Health Care (Millions of Dollars),Indiana,4773,5063,5497,6083,6627,7786,8270,9016,9650,10049,10628,11051,11538,12042,7.5
Medicare/Personal Health Care (Millions of Dollars),Iowa,2290,2388,2517,2748,3031,3622,3826,4068,4252,4390,4604,4812,5005,5224,6.5
Medicare/Personal Health Care (Millions of Dollars),Kansas,2136,2271,2466,2670,2889,3415,3603,3797,3964,4133,4307,4456,4594,4828,6.6
Medicare/Personal Health Care (Millions of Dollars),Kentucky,3528,3814,4066,4470,4930,5796,6237,6741,7113,7459,7873,8155,8465,8768,7.4
Medicare/Personal Health Care (Millions of Dollars),Louisiana,4290,4555,4798,5481,5780,6498,6925,7412,7855,8227,8544,8728,8864,9123,6.5
Medicare/Personal Health Care (Millions of Dollars),Maine,1110,1158,1254,1384,1509,1802,1965,2101,2244,2285,2436,2513,2631,2791,7.8
