Item,State_Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Average_Annual_Percent_Growth
Private Health Insurance Enrollee Population (Thousands),Alabama,3113,3107,3049,2964,2936,3052,3106,3135,3041,2978,2956,3028,2985,3042,-0.2
Private Health Insurance Enrollee Population (Thousands),Alaska,412,390,394,404,402,417,418,408,401,412,412,410,446,418,0.1
Private Health Insurance Enrollee Population (Thousands),Arizona,3525,3517,3542,3537,3489,3647,3802,3781,3686,3505,3461,3543,3609,3735,0.4
Private Health Insurance Enrollee Population (Thousands),Arkansas,1663,1609,1584,1615,1664,1605,1663,1573,1550,1518,1542,1550,1529,1590,-0.3
Private Health Insurance Enrollee Population (Thousands),California,21798,22870,22391,21818,21999,22045,22152,22174,21394,20877,20828,21183,21245,21970,0.1
Private Health Insurance Enrollee Population (Thousands),Colorado,3204,3199,3090,3207,3272,3298,3359,3331,3285,3227,3230,3266,3307,3388,0.4
Private Health Insurance Enrollee Population (Thousands),Connecticut,2657,2633,2602,2590,2667,2601,2617,2525,2438,2403,2371,2351,2299,2298,-1.1
Private Health Insurance Enrollee Population (Thousands),Delaware,617,605,626,590,599,624,623,606,588,585,589,604,588,610,-0.1
Private Health Insurance Enrollee Population (Thousands),District of Columbia,373,377,363,359,339,377,391,398,390,398,405,418,418,418,0.9
Private Health Insurance Enrollee Population (Thousands),Florida,10561,10565,10920,10713,10968,11002,11069,10687,10229,9970,9887,10036,9976,10543,0
Private Health Insurance Enrollee Population (Thousands),Georgia,5739,5919,5959,5639,5582,5963,6220,6021,5907,5639,5620,5727,5718,5907,0.2
Private Health Insurance Enrollee Population (Thousands),Hawaii,895,896,936,928,946,928,931,881,828,858,849,835,835,856,-0.3
Private Health Insurance Enrollee Population (Thousands),Idaho,909,899,898,941,982,993,1048,1047,1013,1020,1027,1025,1034,1075,1.3
Private Health Insurance Enrollee Population (Thousands),Illinois,9033,9144,9129,9242,8994,9021,8985,8861,8432,8185,8136,8223,8150,8279,-0.7
Private Health Insurance Enrollee Population (Thousands),Indiana,4727,4614,4543,4269,4295,4672,4443,4329,4200,4071,4061,4101,4085,4156,-1
Private Health Insurance Enrollee Population (Thousands),Iowa,2378,2315,2305,2236,2277,2180,2272,2269,2229,2172,2183,2194,2157,2209,-0.6
Private Health Insurance Enrollee Population (Thousands),Kansas,1969,2073,2014,1957,2040,1967,1925,1924,1843,1839,1818,1821,1830,1844,-0.5
Private Health Insurance Enrollee Population (Thousands),Kentucky,2768,2821,2753,2634,2686,2698,2643,2675,2567,2531,2507,2568,2548,2599,-0.5
