Item,State_Name,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
Population (Thousands),Alabama,4468,4480,4503,4531,4570,4629,4673,4718,4758,4785,4800,4816,4829,4843,0.7
Population (Thousands),Alaska,634,642,648,659,667,675,680,687,699,714,723,731,737,737,1.1
Population (Thousands),Arizona,5273,5396,5510,5652,5839,6029,6168,6280,6343,6408,6467,6550,6625,6720,2.5
Population (Thousands),Arkansas,2692,2706,2725,2750,2781,2822,2849,2875,2897,2922,2939,2951,2959,2967,1
Population (Thousands),California,34479,34872,35253,35575,35828,36021,36250,36604,36961,37333,37677,38011,38335,38681,1
Population (Thousands),Colorado,4426,4490,4529,4575,4632,4720,4804,4890,4972,5049,5118,5190,5268,5350,2
Population (Thousands),Connecticut,3433,3459,3484,3496,3507,3517,3527,3546,3562,3580,3590,3594,3596,3592,0.4
Population (Thousands),Delaware,796,806,818,831,845,859,872,884,892,900,908,917,925,935,1.4
Population (Thousands),District of Columbia,575,573,569,568,567,571,574,580,592,605,620,635,649,659,0.4
Population (Thousands),Florida,16357,16689,17004,17415,17842,18167,18368,18527,18653,18849,19097,19344,19582,19889,1.7
Population (Thousands),Georgia,8377,8508,8623,8769,8926,9156,9350,9505,9621,9714,9812,9915,9985,10087,1.8
Population (Thousands),Hawaii,1226,1240,1251,1274,1293,1310,1316,1332,1347,1364,1378,1392,1406,1416,1
Population (Thousands),Idaho,1320,1340,1363,1392,1428,1469,1505,1534,1554,1571,1584,1596,1612,1634,2
Population (Thousands),Illinois,12488,12526,12556,12590,12610,12644,12696,12747,12797,12842,12860,12871,12880,12868,0.5
Population (Thousands),Indiana,6128,6156,6197,6233,6279,6333,6380,6425,6459,6491,6516,6538,6569,6595,0.7
Population (Thousands),Iowa,2932,2934,2942,2954,2964,2983,2999,3017,3033,3051,3065,3076,3092,3108,0.5
Population (Thousands),Kansas,2702,2714,2723,2734,2745,2763,2784,2808,2833,2859,2870,2885,2893,2899,0.6
Population (Thousands),Kentucky,4068,4090,4117,4146,4183,4219,4257,4290,4317,4349,4369,4385,4400,4413,0.7
Population (Thousands),Louisiana,4478,4497,4521,4552,4577,4303,4376,4436,4492,4545,4575,4603,4626,4648,0.4
Population (Thousands),Maine,1286,1296,1307,1314,1319,1324,1327,1331,1330,1328,1328,1329,1329,1331,0.3
Population (Thousands),Maryland,5375,5440,5496,5547,5592,5627,5653,5685,5730,5789,5844,5890,5931,5967,0.9
