Item,State_Name,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
Personal Health Care (Millions of Dollars),Alabama,18619,20209,22491,23797,25338,26638,27700,28765,30095,30728,31398,32848,33788,35263,5.5
Personal Health Care (Millions of Dollars),Alaska,3276,3642,3955,4256,4765,5048,5426,5807,6112,6519,6928,7406,7684,8151,7.8
Personal Health Care (Millions of Dollars),Arizona,18129,20390,22464,24795,28190,30766,33366,35547,37258,38620,39295,40495,41481,43356,6.9
Personal Health Care (Millions of Dollars),Arkansas,10846,11797,12578,13470,14611,15431,16426,17246,18071,18735,19356,20076,20500,21980,6.1
Personal Health Care (Millions of Dollars),California,132336,143875,158268,170083,182958,194413,209397,221013,229541,241916,253844,266767,278168,291989,5.7
Personal Health Care (Millions of Dollars),Colorado,17669,19123,20690,22103,22867,24849,26525,27797,29246,30187,31372,32726,34090,36398,6.5
Personal Health Care (Millions of Dollars),Connecticut,19087,20558,21695,23560,24538,25997,27488,29141,31132,31727,32129,33421,34223,35413,5.2
Personal Health Care (Millions of Dollars),Delaware,4051,4462,5042,5498,5899,6285,6735,7191,7495,7938,8365,8650,9038,9587,7.2
Personal Health Care (Millions of Dollars),District of Columbia,3828,4118,4355,4766,4971,5138,5492,5779,6182,6582,7000,7130,7443,7871,4.6
Personal Health Care (Millions of Dollars),Florida,77621,83895,90733,99100,106293,114162,120960,126977,133067,137609,141462,147685,150547,160624,6.3
Personal Health Care (Millions of Dollars),Georgia,31886,35179,37579,41499,43655,47131,49827,50930,53035,53950,56053,59575,62399,66447,6.2
Personal Health Care (Millions of Dollars),Hawaii,5031,5463,5943,6391,6967,7275,8023,8503,8810,8860,8993,9469,9781,10338,5.6
Personal Health Care (Millions of Dollars),Idaho,4820,5372,5798,6252,6854,7426,7990,8377,8861,9424,9718,10182,10627,11315,7.4
Personal Health Care (Millions of Dollars),Illinois,55765,60058,63790,67505,71747,76296,81934,84809,88515,93140,95542,98651,101891,106306,5.4
Personal Health Care (Millions of Dollars),Indiana,26618,28700,31157,33705,35391,37908,40055,41200,43867,45352,47476,51306,52046,54741,6
Personal Health Care (Millions of Dollars),Iowa,13411,14215,15331,16203,17241,18411,19327,20184,21067,21895,22733,23528,24135,25487,5.6
Personal Health Care (Millions of Dollars),Kansas,12312,13167,14021,15008,15885,16689,17684,18502,19161,19605,20522,21573,21490,22183,5.5
